x = 3.320312, T_approx = 183.333333, T_exact = 136.604702
x = 3.339844, T_approx = 183.823529, T_exact = 137.254475
x = 3.359375, T_approx = 184.313725, T_exact = 137.911892
x = 3.378906, T_approx = 184.803922, T_exact = 138.576998
x = 3.398438, T_approx = 185.294118, T_exact = 139.249837
x = 3.417969, T_approx = 185.784314, T_exact = 139.930455
x = 3.437500, T_approx = 186.274510, T_exact = 140.618896
x = 3.457031, T_approx = 186.764706, T_exact = 141.315205
x = 3.476562, T_approx = 187.254902, T_exact = 142.019427
x = 3.496094, T_approx = 187.745098, T_exact = 142.731605
x = 3.515625, T_approx = 188.235294, T_exact = 143.451786
x = 3.535156, T_approx = 188.725490, T_exact = 144.180013
x = 3.554688, T_approx = 189.215686, T_exact = 144.916332
x = 3.574219, T_approx = 189.705882, T_exact = 145.660786
x = 3.593750, T_approx = 190.196078, T_exact = 146.413422
x = 3.613281, T_approx = 190.686275, T_exact = 147.174282
x = 3.632812, T_approx = 191.176471, T_exact = 147.943413
x = 3.652344, T_approx = 191.666667, T_exact = 148.720859
x = 3.671875, T_approx = 192.156863, T_exact = 149.506664
x = 3.691406, T_approx = 192.647059, T_exact = 150.300874
x = 3.710938, T_approx = 193.137255, T_exact = 151.103532
x = 3.730469, T_approx = 193.627451, T_exact = 151.914684
x = 3.750000, T_approx = 194.117647, T_exact = 152.734375
x = 3.769531, T_approx = 194.607843, T_exact = 153.562649
x = 3.789062, T_approx = 195.098039, T_exact = 154.399550
x = 3.808594, T_approx = 195.588235, T_exact = 155.245124
x = 3.828125, T_approx = 196.078431, T_exact = 156.099415
x = 3.847656, T_approx = 196.568627, T_exact = 156.962468
x = 3.867188, T_approx = 197.058824, T_exact = 157.834327
x = 3.886719, T_approx = 197.549020, T_exact = 158.715038
x = 3.906250, T_approx = 198.039216, T_exact = 159.604645
x = 3.925781, T_approx = 198.529412, T_exact = 160.503192
x = 3.945312, T_approx = 199.019608, T_exact = 161.410725
x = 3.964844, T_approx = 199.509804, T_exact = 162.327288
x = 3.984375, T_approx = 200.000000, T_exact = 163.252926
x = 4.003906, T_approx = 200.490196, T_exact = 164.187683
x = 4.023438, T_approx = 200.980392, T_exact = 165.131605
x = 4.042969, T_approx = 201.470588, T_exact = 166.084735
x = 4.062500, T_approx = 201.960784, T_exact = 167.047119
x = 4.082031, T_approx = 202.450980, T_exact = 168.018802
x = 4.101562, T_approx = 202.941176, T_exact = 168.999827
x = 4.121094, T_approx = 203.431373, T_exact = 169.990240
x = 4.140625, T_approx = 203.921569, T_exact = 170.990086
x = 4.160156, T_approx = 204.411765, T_exact = 171.999408
x = 4.179688, T_approx = 204.901961, T_exact = 173.018253
x = 4.199219, T_approx = 205.392157, T_exact = 174.046664
x = 4.218750, T_approx = 205.882353, T_exact = 175.084686
x = 4.238281, T_approx = 206.372549, T_exact = 176.132365
x = 4.257812, T_approx = 206.862745, T_exact = 177.189744
x = 4.277344, T_approx = 207.352941, T_exact = 178.256868
x = 4.296875, T_approx = 207.843137, T_exact = 179.333782
x = 4.316406, T_approx = 208.333333, T_exact = 180.420531
x = 4.335938, T_approx = 208.823529, T_exact = 181.517160
x = 4.355469, T_approx = 209.313725, T_exact = 182.623713
x = 4.375000, T_approx = 209.803922, T_exact = 183.740234
x = 4.394531, T_approx = 210.294118, T_exact = 184.866770
x = 4.414062, T_approx = 210.784314, T_exact = 186.003363
x = 4.433594, T_approx = 211.274510, T_exact = 187.150060
x = 4.453125, T_approx = 211.764706, T_exact = 188.306904
x = 4.472656, T_approx = 212.254902, T_exact = 189.473940
x = 4.492188, T_approx = 212.745098, T_exact = 190.651214
x = 4.511719, T_approx = 213.235294, T_exact = 191.838770
